Plot,D0,D1,D2,D3,D4,D5,D6,year
1,0,0.25,0.9,4.575,8.75,21,,2021
2,0,0.75,3.675,12.45,20.75,45.35,,2021
3,0,2.925,7.375,18,34.6,65.15,,2021
4,0,0.75,5.45,17.45,42.6,75.5,,2021
5,0,3.375,3.45,15.45,17.25,55.25,,2021
6,0,0.8,1.375,8.8,12.25,15.35,,2021
7,0,0.375,3.05,9.1,13,30.95,,2021
8,0,3.7,8.4,29.4,41.2,71.75,,2021
9,0,2.375,4.275,13.2,15.65,38.1,,2021
10,0,2.225,2.275,30.25,17.3,68,,2021
11,0,1,5.875,18.65,22.35,47.5,,2021
12,0,0.125,2.95,7.35,10.4,31.2,,2021
13,0,0.175,1,6.025,9.5,18.4,,2021
14,0,0.55,4.8,17.75,21.8,73.5,,2021
15,0,0.675,1.025,4.55,8.5,18.95,,2021
16,0,0.45,4.375,10.35,16.7,50.25,,2021
17,0,1.05,2.4,9.25,21.2,30.2,,2021
18,0,0.5,5.05,9.85,21,53.65,,2021
19,0,0.45,4.35,12.3,52.7,71.4,,2021
20,0,0.225,3.275,11.35,11.6,18.95,,2021
21,0,1,3.675,12.7,17.7,51.4,,2021
22,0,1.175,1.95,11.85,15.55,17.95,,2021
23,0,3.775,4.65,18.65,51.25,84,,2021
24,0,0.6,0.425,3.75,5.4,15.9,,2021
25,0,0.475,2.925,8.95,18.7,49.25,,2021
26,0,0.525,4.175,16.6,21.65,64.9,,2021
27,0,0.3,1.725,6.8,11,24.45,,2021
28,0,0.775,2.275,10.6,13.4,44.9,,2021
29,0,0.975,3.975,13.7,16,44.4,,2021
30,0,1.55,5.45,26.75,31.05,61.45,,2021
31,0,0.2,2.25,11.55,16.9,40.1,,2021
32,0,0.9,1.475,7.925,10.95,23,,2021
33,0,0.825,4.35,12.9,25.4,56.75,,2021
34,0,0.35,1.65,11.35,14.2,40.5,,2021
35,0,0.825,1.875,7.1,16.45,18,,2021
36,0,2.6,4.9,21.65,49.1,81.75,,2021
37,0,0.575,2.75,17.1,22.3,65.5,,2021
38,0,0.95,1.1,6.7,11.6,25.6,,2021
39,0,1.725,5.75,19.8,28.35,71.75,,2021
40,0,4.925,2.925,9.35,13.05,47.25,,2021
1,0,0,0.075,2.3,3.9,11.825,,2022
2,0,0,0.4,10.9,27,34.9,,2022
3,0,0,1,11.85,30.4,43.6,,2022
4,0,0,2.85,26.65,37.6,59.35,,2022
5,0,0.25,1.425,9.6,27.15,43.3,,2022
6,0,0.078947368,0.35,8.5,16.5,22.95,,2022
7,0,0.05,0.525,9.5,25.7,35.35,,2022
8,0,0,1.125,14.5,31.65,58.4,,2022
9,0.025,0.05,0.3,6.2,14.4,24.3,,2022
10,0.05,0.25,0.875,16.2,46.75,65.25,,2022
11,0,0,0.15,12.125,18.9,32.65,,2022
12,0,0,0,10.65,24.725,17.2,,2022
13,0,0,0.75,7.1,16.5,12.25,,2022
14,0,0.025,0.631578947,14.1,46.1,53.8,,2022
15,0,0,0.575,7.55,19.575,11.15,,2022
16,0,0.075,0.75,13.65,34.8,41.25,,2022
17,0,0.1,0.6,12,34,34.35,,2022
18,0,0.1,1.425,17.2,50,78,,2022
19,0,0.025,1.225,16.65,30.15,86.75,,2022
20,0,0.3,0.225,13.6,22.5,23.3,,2022
21,0,0,0.9,12.65,19.05,37.25,,2022
22,0,0,1.75,8.775,16.3,21.15,,2022
23,0.025,0,0.95,19.2,55.5,85.75,,2022
24,0,0.025,0.875,4.275,10.55,14,,2022
25,0,0.15,0.775,13.6,54.3,68.4,,2022
26,0,0.025,1.175,14.775,35.15,81.25,,2022
27,0,0.075,0.575,10.625,17.65,18.35,,2022
28,0,0.05,1.175,10.15,31,41.55,,2022
29,0.05,0.025,0.4,9.65,31,50.5,,2022
30,0,0.075,0.6,15.1,42,60,,2022
31,0,0,0.1,5.875,10.8,23.05,,2022
32,0,0,0,3.625,9.025,10.05,,2022
33,0,0.05,2.825,18.025,60.75,64.75,,2022
34,0,0,0.325,9.7,17.05,26.55,,2022
35,0,0.025,0.075,8.4,18.4,14.4,,2022
36,0,0.075,2.15,25.15,43,88,,2022
37,0,0.05,5.225,19.3,48,84.5,,2022
38,0,0,0.875,7.475,16.2,21.4,,2022
39,0,0,1.85,18.7,31.4,69,,2022
40,0,0,1.6,9.975,20.475,29.9,,2022
1,0.15,0.25,1.95,3.8,4.95,11.35,24.9,2023
2,0.6,2.55,8.15,14.85,13.05,32,46,2023
3,0.5,1.35,2,5.65,8.4,22.75,59.5,2023
4,0.3,5.15,2,14.1,18.55,36,70.25,2023
5,0.25,1.6,1.35,3.25,10.35,28.9,55.75,2023
6,0.15,0.35,1,2,5.15,30.75,55.75,2023
7,0.25,0.45,0.9,1.3,4.65,13.7,26,2023
8,0.15,1.05,6.55,27,39.75,38.5,80.25,2023
9,0.2,1.9,13.55,28.5,33,49,55.25,2023
10,0.15,0.6,2.1,2.75,3.1,23,36.25,2023
11,0.15,1.85,11.95,12.65,12.35,33,35.75,2023
12,0.15,5.75,26.25,37.5,54.25,69.5,93.5,2023
13,0.25,0.05,0.2,1,3.4,10.6,23,2023
14,0.35,0.35,0.65,3.1,2.95,7.8,19.5,2023
15,0.15,0.25,3,5.25,14.25,21.5,42.5,2023
16,0.1,5.9,8.55,19.75,44,72.75,65,2023
17,0.2,0.05,0.3,1.9,6.35,7.85,38,2023
18,0.35,0.15,0.55,2.05,4.35,8.3,29.5,2023
19,0.35,0.8,5.75,7.05,8.65,24.5,66.5,2023
20,0.55,1.05,13.05,12.3,21.5,22.5,37.5,2023
21,0.35,1.35,2.2,2.7,11.85,22.25,27,2023
22,0.15,1.55,7.55,7.9,21.75,48.25,64,2023
23,0.1,0.5,3.3,12.25,8.7,22.75,57.5,2023
24,0.15,0.25,1.05,1.75,2.5,9.75,26,2023
25,0.3,2.25,2.8,10.55,15.75,25.5,84.5,2023
26,0.3,0.65,12.25,31.25,29,62.75,53,2023
27,0.05,0.25,2.45,3.95,9.95,20.3,76.5,2023
28,0.35,4.2,24.25,43,59,73.25,93.25,2023
29,0.2,1.05,2.65,4,9,31.75,45,2023
30,0.5,4.95,3.9,16.8,41.5,43.25,60.75,2023
31,0.15,3.8,0.3,1.55,9,10.9,34,2023
32,0.35,0.7,10.65,16.85,23.75,40.75,51.5,2023
33,0.3,0.2,5.6,9.95,18,37.5,52,2023
34,0.35,0.75,0.95,3.85,14.45,14.2,42.75,2023
35,0.1,1.2,4.65,11.35,22.75,51.75,51.75,2023
36,0.15,8,18.35,40.5,60,80.75,82.25,2023
37,0.35,0.35,2.05,5.4,25,19.55,73,2023
38,0.15,0.7,11.4,21.1,13.15,30,70,2023
39,0.3,0.1,0.35,1.6,10.1,8.05,19,2023
40,0.1,0.85,5.95,21.25,12.55,20.25,61.5,2023
41,0.2,0.15,0.4,1.65,5.1,9.35,25.5,2023
42,0.1,0.15,0.05,0.75,2.25,5.95,26,2023
43,0.2,0.1,0.35,2.3,2.75,5.7,46,2023
44,0.3,0.55,9.6,13.35,20.35,39.25,28.5,2023
45,0.15,0.15,0.45,2.65,5.75,16.75,27,2023
46,0.15,1.05,11.3,16.25,35.5,42.5,56.75,2023
47,0.15,0.25,2.15,5.7,12.2,26.25,41,2023
48,0.15,3.9,22.45,46.5,50.25,72.75,91.25,2023
49,0.15,0.8,13.3,23,28,20.75,50.5,2023
50,0.15,6,4.4,21,21.5,33.5,50,2023
51,0.25,1.05,2.9,3.35,11.85,14.6,49.25,2023
52,0.2,0.6,4.95,8.7,24.25,42.75,56.25,2023
53,0.2,2.8,2.35,5.8,25.75,62.5,77.25,2023
54,0.3,0.15,0.55,1,7,12.95,36.25,2023
55,0.15,2.25,1.5,5.7,10.8,31.75,68,2023
56,0.15,0.05,0.3,0.5,2.8,5.4,21.75,2023
