lon,lat,marker,field
-50.833389,-20.460995,plantas,11
-50.833388,-20.461,plantas,11
-50.833325,-20.461213,plantas,11
-50.833317,-20.461236,plantas,11
-50.833319,-20.461265,plantas,11
-50.833305,-20.461357,plantas,11
-50.833178,-20.461266,plantas,11
-50.833191,-20.461238,plantas,11
-50.833188,-20.461218,plantas,11
-50.833246,-20.46114,plantas,11
-50.833169,-20.461298,plantas,11
-50.833155,-20.461438,plantas,11
-50.833168,-20.46152,plantas,11
-50.8332,-20.461554,plantas,11
-50.833193,-20.461572,plantas,11
-50.833183,-20.461556,plantas,11
-50.833195,-20.461628,plantas,11
-50.833185,-20.461817,plantas,11
-50.833186,-20.461844,plantas,11
-50.833185,-20.461877,plantas,11
-50.833187,-20.461935,plantas,11
-50.833087,-20.462097,plantas,11
-50.833087,-20.462035,plantas,11
-50.83307,-20.461847,plantas,11
-50.833075,-20.46182,plantas,11
-50.833066,-20.461801,plantas,11
-50.83306,-20.46156,plantas,11
-50.833045,-20.461415,plantas,11
-50.832974,-20.461468,plantas,11
-50.833008,-20.461487,plantas,11
-50.832987,-20.4615,plantas,11
-50.83303,-20.461708,plantas,11
-50.833005,-20.461905,plantas,11
-50.833015,-20.461949,plantas,11
-50.833037,-20.461978,plantas,11
-50.833016,-20.462028,plantas,11
-50.833029,-20.462034,plantas,11
-50.833034,-20.462144,plantas,11
-50.832959,-20.462263,plantas,11
-50.832919,-20.461895,plantas,11
-50.83284,-20.46129,plantas,11
-50.832814,-20.461283,plantas,11
-50.832843,-20.461207,plantas,11
-50.832859,-20.461167,plantas,11
-50.832871,-20.46111,plantas,11
-50.832926,-20.461064,plantas,11
-50.832748,-20.46122,plantas,11
-50.83277,-20.4613,plantas,11
-50.832799,-20.461512,plantas,11
-50.832802,-20.461552,plantas,11
-50.832863,-20.462232,plantas,11
-50.832866,-20.462357,plantas,11
-50.832753,-20.462302,plantas,11
-50.832644,-20.461603,plantas,11
-50.832608,-20.4614,plantas,11
-50.8326,-20.461372,plantas,11
-50.832661,-20.461071,plantas,11
-50.832631,-20.461506,plantas,11
-50.832641,-20.461694,plantas,11
-50.832653,-20.461723,plantas,11
-50.832636,-20.4621,plantas,11
-50.832643,-20.462163,plantas,11
-50.832644,-20.462178,plantas,11
-50.832651,-20.462193,plantas,11
-50.832615,-20.462307,plantas,11
-50.832493,-20.462302,plantas,11
-50.832493,-20.461824,plantas,11
-50.832498,-20.461757,plantas,11
-50.832516,-20.461745,plantas,11
-50.832515,-20.461736,plantas,11
-50.832527,-20.461747,plantas,11
-50.832544,-20.461632,plantas,11
-50.832545,-20.461629,plantas,11
-50.832547,-20.461595,plantas,11
-50.832538,-20.461483,plantas,11
-50.832519,-20.46122,plantas,11
-50.832501,-20.461022,plantas,11
-50.833477,-20.461012,plantas,11
-50.833453,-20.461239,plantas,11
-50.833456,-20.46126,plantas,11
-50.833453,-20.461263,plantas,11
-50.833379,-20.461359,plantas,11
-50.833388,-20.461432,plantas,11
-50.833481,-20.461059,plantas,11
-50.833565,-20.461413,plantas,11
-50.833365,-20.461841,plantas,11
-50.833196,-20.462139,plantas,11
-50.833366,-20.461912,plantas,11
-50.833435,-20.461804,plantas,11
-50.833478,-20.461741,plantas,11
-50.83355,-20.46154,plantas,11
-50.833623,-20.46138,plantas,11
-50.833653,-20.461361,plantas,11
-50.833685,-20.461049,plantas,11
-50.833716,-20.460973,plantas,11
-50.833794,-20.461034,plantas,11
-50.833786,-20.461143,plantas,11
-50.83378,-20.461213,plantas,11
-50.833788,-20.461231,plantas,11
-50.833804,-20.461252,plantas,11
-50.833803,-20.461242,plantas,11
-50.83359,-20.461799,plantas,11
-50.833573,-20.461854,plantas,11
-50.833541,-20.46189,plantas,11
-50.83353,-20.461925,plantas,11
-50.833505,-20.461936,plantas,11
-50.833308,-20.462289,plantas,11
-50.833401,-20.462126,plantas,11
-50.833498,-20.461952,plantas,11
-50.833514,-20.461923,plantas,11
-50.833537,-20.461891,plantas,11
-50.833564,-20.461861,plantas,11
-50.833597,-20.461778,plantas,11
-50.833604,-20.461765,plantas,11
-50.833626,-20.461716,plantas,11
-50.833803,-20.461386,plantas,11
-50.833822,-20.461177,plantas,11
-50.833792,-20.461006,plantas,11
-50.833963,-20.461306,plantas,11
-50.833594,-20.462111,plantas,11
-50.833565,-20.462137,plantas,11
-50.833625,-20.462092,plantas,11
-50.833657,-20.462081,plantas,11
-50.833667,-20.462072,plantas,11
-50.833671,-20.462058,plantas,11
-50.833688,-20.462053,plantas,11
-50.833687,-20.462052,plantas,11
-50.833784,-20.46187,plantas,11
-50.833881,-20.461699,plantas,11
-50.834033,-20.461037,plantas,11
-50.834042,-20.460996,plantas,11
-50.834123,-20.460992,plantas,11
-50.83413,-20.461019,plantas,11
-50.834091,-20.461475,plantas,11
-50.834058,-20.461515,plantas,11
-50.833847,-20.461835,plantas,11
-50.833845,-20.461835,plantas,11
-50.83378,-20.462021,plantas,11
-50.833765,-20.462026,plantas,11
-50.833762,-20.46207,plantas,11
-50.833677,-20.462226,plantas,11
-50.83377,-20.462181,plantas,11
-50.833856,-20.461942,plantas,11
-50.833875,-20.461908,plantas,11
-50.834241,-20.460981,plantas,11
-50.83438,-20.461121,plantas,11
-50.834056,-20.46191,plantas,11
-50.833994,-20.462062,plantas,11
-50.833901,-20.462366,plantas,11
-50.833956,-20.462279,plantas,11
-50.834065,-20.462034,plantas,11
-50.833225,-20.461189,plantas,11
-50.83322,-20.461219,plantas,11
-50.83318,-20.461309,plantas,11
-50.833184,-20.461334,plantas,11
-50.83329,-20.461329,plantas,11
-50.833301,-20.461219,plantas,11
-50.83331,-20.461182,plantas,11
-50.833323,-20.461142,plantas,11
-50.832455,-20.462361,polygon,11
-50.832468,-20.460924,polygon,11
-50.834468,-20.460958,polygon,11
-50.833915,-20.46241,polygon,11
